"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"Montipora_capitata_HIv3___RNAseq.15888_t",22.1820496696566,23.1822517304078,22.5430810405736,21.9471605145498,23.0636110059027,21.9548630495387,22.1746348275456,22.4461606233017,21.8434528172036,22.6297036844868,23.0256547870667,22.4688584232447,20.6740580775465,22.0180731428873,22.9135528853558,23.3647788234288,22.9926005071613,21.2941132209847,22.7007512641455,20.9421861405087,21.7802167457428,22.6791507142916,21.9972770103148,22.7888917445566,21.5678162709919,22.3814875031187,23.5292881575857,23.0255912599441,20.8109637110965,21.8984133643309,20.2733623712786,22.0824045735184,21.8124844372778,23.5320407712732,23.1235987252692,22.0611222928993
"Montipora_capitata_HIv3___RNAseq.17512_t",22.2509314372333,27.2785372270765,23.7236633397571,23.6973681744262,22.24641124201,22.7326131714165,24.1341163705193,22.9910218001163,21.299306972173,24.6791992622565,22.2658276220561,NA,NA,NA,24.1941455983929,26.3127377124106,26.8110742850131,NA,26.3872669132091,20.6168827415501,20.3454472093456,24.5503749100509,NA,NA,NA,24.5307014909964,NA,NA,21.4782455130365,20.7171311521902,20.4071567508715,23.8240606289282,20.9576353231301,NA,20.8963394261268,23.8640668118081
"Montipora_capitata_HIv3___RNAseq.17705_t",NA,NA,NA,NA,20.0224338528549,19.318588181164,19.8879009992548,18.2691889015209,17.420168281429,NA,NA,20.1774498018658,NA,18.3295782022947,18.5977713781157,NA,NA,19.0793068722231,NA,NA,NA,19.4478207830971,19.2232291445063,NA,NA,NA,19.9226797585816,18.1766319977883,NA,NA,NA,NA,17.9070910905161,21.0331119183406,NA,NA
"Montipora_capitata_HIv3___RNAseq.17733_t",22.1415457331128,NA,20.8037310733842,20.3873008382423,21.6863923777673,22.4340678490478,19.6688988307047,22.5020061193809,22.5015349723798,20.266266407145,21.040641898506,19.0438648577301,21.8923228705322,21.3048565142845,NA,NA,21.2793563818606,22.5069854674061,NA,NA,22.3441470193505,18.6981714692206,22.4345579854286,21.2064176271051,21.6628576191375,18.9780572721714,20.9574271178935,19.1282758495464,NA,21.6328026607651,22.2460420762389,19.4781485954394,22.3974802327949,19.7670945341407,19.0887945456812,21.7450453390079
"Montipora_capitata_HIv3___RNAseq.17993_t",24.0712602144362,22.9209546670248,22.923699608588,23.4134201711277,22.8014141212278,23.8165175001475,23.7036677902974,23.8966249981159,24.1498937672288,22.9874402850454,22.6820413024743,23.3769544195418,24.0713993477601,23.5144759305618,23.6798186424453,22.2698283805432,22.5077007761961,24.229212389905,22.9200729420279,24.0863296578918,24.3088349146601,23.9538380093923,23.6769726462778,23.8425514749058,23.8765378360852,23.4165243827329,22.9106574596141,23.4459292175216,23.3796553306804,23.9182264255041,23.7123701929373,23.8104175790894,24.1421330839785,22.4260490803369,23.5833698652035,24.0337565305531
"Montipora_capitata_HIv3___RNAseq.18025_t",23.0045832729409,20.8268640159466,20.8951338761425,21.3250575342694,21.6279093222303,21.3204920820326,22.3271654237064,23.0743178889342,23.5706761413299,21.5187520717323,20.9154242644644,22.2037337806889,23.8859986704407,22.8540211508125,21.2641053741484,20.6154904481693,20.4611694100018,23.3076731853791,NA,23.2244655823369,23.0500538860163,20.7611952145498,23.6628768462906,21.9248187544185,23.3457235907404,20.8528116010851,21.7280094414832,22.6203724313876,22.1465335620246,24.0959625895846,24.300278399394,21.7912020457168,23.4027425003164,19.0398531424281,22.8546317751638,22.6443761715927
"Montipora_capitata_HIv3___RNAseq.18068_t",21.6121903247637,20.9071099829273,20.9644079432544,21.919292714937,21.4656646694791,21.8454279324646,21.4403944787792,22.0491422742441,22.3043028539756,21.2945342335471,20.6045016505932,21.8300418270226,23.098181029822,22.6114688330368,21.2785183692751,21.309902896659,21.3113526708935,22.39955409317,20.7590213874021,21.986316349289,22.2146859704772,21.2289993389343,22.3570218315157,21.5087068350021,21.9465490137211,21.4350174245623,21.5091999345047,22.0057240788795,22.2009915200205,22.9726098195236,22.6434648417734,21.6126040827928,22.2213039011298,21.2945904621003,21.6792435125182,22.286926009188
"Montipora_capitata_HIv3___RNAseq.18326_t",NA,NA,NA,16.7874782586049,16.6547520468585,16.8883591176899,16.9542113116343,NA,16.9613979379044,NA,NA,NA,NA,NA,NA,16.8958729288162,NA,16.8784756857179,16.7439779711967,NA,NA,NA,NA,17.062705617818,NA,NA,17.1702310216658,17.7028145098366,NA,NA,NA,16.9377401835412,NA,15.4535125454763,16.6689656811708,NA
"Montipora_capitata_HIv3___RNAseq.18629_t",21.6887854782395,22.3238868164999,22.5640805098895,22.3339712335044,22.6910836469958,22.0086794291169,22.4047693238303,22.2364818450194,21.3194314995757,23.2861431591335,23.3677657291769,22.6033469862836,21.272083412354,22.222506023689,22.214574369115,23.0586540491641,23.4896617957467,21.7458153488928,23.22523185971,21.5432120505038,21.2028797934456,22.4154761603255,21.4351568432256,22.6912327729794,21.4606886080273,23.0825803169891,23.0642388469141,23.0255339817626,22.2482922877856,22.016922856784,21.9004439709303,22.1594077413949,21.7536437992013,23.2534152939166,22.5623578463514,21.8003309832928
"Montipora_capitata_HIv3___RNAseq.18813_t",24.2405237944554,24.9411986268466,23.265467255103,24.2809498421731,23.4053088620467,25.4697213006283,25.4948946382073,24.8168917579522,24.4088815509627,25.5104927950306,24.4091974608928,24.1189458238911,23.7297869911624,23.5554838790774,25.2124330048973,24.2937075190409,25.1070894978044,24.7559121038827,24.5222496252541,22.9772850775105,24.2131568885484,25.2105105320608,24.7163421163087,21.6536002990856,25.5196218568394,25.0619522311717,21.9454456224847,23.2541716875475,24.4092611784975,25.2725456425481,24.0367120739247,24.5384158323049,24.4757774578532,23.3553164117022,23.9615052466574,26.2672534717291
