"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"SymbC1.scaffold10199.1",21.2363262208171,20.1857169164258,20.781794320135,21.6396084376135,20.1744563851396,21.1268764772369,NA,21.4091016201714,20.8400573625584,21.1465722492127,NA,NA,NA,NA,21.220113030805,NA,NA,21.6144063365203,19.8591620442404,NA,21.0154587815116,21.1804224510933,20.8409839789791,NA,NA,NA,NA,NA,NA,NA,21.3022861024275,20.8899340093344,21.4634223454626,NA,NA,NA
"SymbC1.scaffold10199.2",19.5823073986186,NA,20.9593152747239,20.0885022940411,20.6021917369775,19.5869266954013,19.801483887234,20.1220955694167,18.982536085415,20.7654087281594,20.2490189549738,NA,19.0808448463888,NA,19.8288144170983,19.5892640177689,19.9944390722352,20.2151192517049,19.6877870114675,19.660217482604,NA,NA,19.3964397663844,20.8850887954246,19.6391455940267,20.994512013683,NA,NA,19.6020700541034,19.7864206995829,18.8486869270023,20.0551758385265,19.7417208426046,NA,20.2024192043059,NA
"SymbC1.scaffold1020.1",NA,18.5023496353894,19.9644251302887,NA,19.2543163149216,NA,NA,NA,NA,19.3180543900424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3821597332096,NA,19.6633065117425,NA,18.9318525719548,19.8886348478619,NA,NA,NA,NA,NA,NA,19.3335352342315,NA,NA
"SymbC1.scaffold1020.3",NA,21.5208331378695,NA,19.318257860856,21.413005728077,NA,19.4530558188025,19.1898346610584,NA,21.0143477870217,20.8016126543822,NA,NA,NA,NA,21.3429507470949,22.968710556452,NA,NA,NA,NA,20.8381714628567,NA,19.6214268056434,NA,19.5693922017903,NA,NA,NA,NA,NA,17.3979276142019,NA,NA,21.1326908103063,NA
"SymbC1.scaffold10206.1",NA,22.3042461669991,20.3471997506955,20.2105988172416,22.2848574160847,20.4775164342275,19.9123051677489,21.9238700423168,21.1397182415406,21.8738813178353,22.6085201475282,NA,NA,NA,20.6664899318405,22.6848091771049,24.1137091052654,20.5485619519766,19.6482444500652,NA,20.3244927582026,21.5397308192512,20.4647146218144,19.8531819888374,NA,21.2478128055071,NA,NA,NA,NA,NA,19.7567635680062,20.8316635765408,19.1918548807684,22.5138626235409,NA
"SymbC1.scaffold10224.2",20.5626204526135,20.980517729163,22.0708409327805,21.1877033446741,22.2785728151881,20.694944129087,20.7690484601985,20.9671692549966,19.1754408195978,21.3093067562397,21.6834347921008,21.2778628720542,NA,19.8288128679006,21.3726728666859,NA,21.410643106113,21.1053191700355,21.1989834635836,NA,20.8550146272195,21.5963701782162,20.3065527948022,21.4834465380313,NA,22.3529031049707,22.331305006767,20.9508854765331,NA,NA,NA,21.6510045962555,20.8666443960172,21.734149348614,22.4937617731415,20.1621374372141
"SymbC1.scaffold1024.4",21.4131436737289,24.7679232662069,22.9504605861372,24.677992704928,25.2137939558252,21.6086137669215,23.6311414112629,24.3657002242743,20.5119666238966,24.6681777737993,22.0512034633947,22.9093615430241,21.2390246366134,22.7525558273152,22.071575454938,21.5240362511009,21.7625760814974,22.5899389968885,22.2300274742324,21.3776417373943,22.2099609319329,24.3526749667961,21.6905178932942,23.1062630826091,21.3463140736469,25.1936258195455,26.1531643515664,24.9774552368757,21.5139269408923,21.6274666448644,20.0632497418772,22.6017058505471,21.9728010362478,22.5526795327701,25.3625141457205,21.2160171105701
"SymbC1.scaffold10242.1",21.2273180381337,21.0245538177026,21.9088810103458,21.2424828904437,21.2278632696983,20.8875227793151,21.2702150407871,21.2437059940141,20.00352288745,22.5773645140951,21.739625706842,NA,NA,NA,21.6791570513974,20.1179440900931,21.4196810739767,21.449385581105,21.65163805851,20.6525421628845,20.9566355575093,21.7059304784992,20.6821445264302,21.4157996540214,21.1434282140464,22.4837899508116,NA,NA,21.0542401286914,21.2318324555265,19.3330403962601,21.4020420507524,20.826847921195,NA,20.9278168359943,20.6709929801255
"SymbC1.scaffold10265.1",21.2187513803031,20.6023138627269,21.5082682215806,21.0882132188274,20.8198855453968,20.7199573590309,20.4460011807424,21.0414145147838,20.4564452876342,20.4206952829007,20.5286944686918,20.2854898479762,20.0651334101923,20.1377096067851,20.0310502850715,19.3939048171254,18.9867272531643,21.4330891145823,20.0665640513738,20.0811210947521,21.1254948226041,20.9072501092056,20.7678882191583,21.2042245534979,20.7442582855965,21.0836390350545,19.9715745132365,19.1517006818554,20.6204045392204,19.7369866102931,20.0297078079017,21.2488025853835,20.8524317834872,19.6685129196495,20.7608287561412,NA
"SymbC1.scaffold1028.14",NA,NA,NA,NA,18.2896722113491,18.3485003003757,NA,19.0919520022114,NA,NA,NA,NA,19.3342056224685,NA,NA,NA,18.6274119825423,18.9053408189567,NA,NA,19.6236122773902,NA,NA,18.6783246114844,18.8983544982929,NA,NA,NA,NA,NA,NA,18.4552678884999,19.0344485462786,NA,18.9970112014134,NA
"SymbC1.scaffold1029.2",20.1416494098133,20.3592401714012,20.9252547044326,20.1876384127114,20.485638448585,19.8257780902872,20.5132392952816,20.002938253178,19.2542719044689,20.1497534755819,NA,NA,19.1968030597851,NA,NA,19.7006283046355,20.3251651640446,20.3877724187697,20.0143338239335,19.8207377703978,20.1039535115872,20.6485974231145,20.0224898996694,20.8292809404037,19.7427395209616,20.6209228643612,NA,NA,20.0381696566079,NA,NA,19.6042002867894,19.3709746879505,NA,19.9540201894026,19.3617572132943
"SymbC1.scaffold1030.2",23.6716842369044,22.8385045610224,23.8957864143196,23.6814480771194,23.1311591002363,22.8735772216797,23.4554483850786,23.6269765025838,22.7756711595675,23.3032475818242,22.8907682094385,22.3091154839601,23.477183756065,21.8008015749366,23.3061279031313,22.0315184773267,22.8357895380456,24.0499641794612,23.0245683585416,23.1825072595928,23.4239908087789,23.457828976204,23.5399443471072,23.6248580243841,22.7262644213144,23.867268086321,22.7853488936626,22.1733913672413,22.9805943411515,23.2824961562397,22.7739975641903,23.332122619842,23.3919059160783,22.7695653816239,23.3160750190836,22.9753247890329
"SymbC1.scaffold10339.1",27.8662614104947,27.6299622054348,28.0967786814393,27.6987577531748,27.040681692834,27.1302410843634,27.927555999102,27.0236448935066,26.3768591940389,28.1133075469972,27.1128460779964,NA,26.5850773805579,NA,28.3163117809517,26.2755583270663,27.1603337059862,27.6376477324841,27.7586235760884,28.1460320884141,26.7737546561719,28.0076540420833,27.4078654814845,27.5559198369852,27.5980385248947,28.3871569801014,NA,NA,27.9767071894995,27.238988205156,25.7154571293725,27.4435361014556,27.3872811144829,NA,26.5119343012445,27.5705906812632
"SymbC1.scaffold10348.2",18.8502897716459,NA,NA,17.2628183221153,17.7165387877734,17.2296414776575,16.9656323815881,19.5706620141342,17.8553099225595,NA,NA,NA,NA,NA,NA,NA,NA,20.3399095203936,NA,NA,18.8247927174695,17.6863613848393,17.9569727878689,19.2819403530608,NA,19.2267398264621,NA,NA,NA,19.6705376129294,NA,18.4553866750988,19.4012439852987,NA,18.0861124086353,NA
"SymbC1.scaffold1038.6",20.4710493912569,19.2050931121867,20.8442148897471,20.2734259764335,20.5302160445263,20.0759054071156,20.2468720591559,20.4277203852,19.3968430590316,19.6093799768389,20.2909816460214,20.3108899553147,20.5714096390425,19.726907776897,20.5714476003644,NA,18.8328958072529,21.1781003977087,19.8576386971874,20.4596740000044,20.765908042049,20.5836974151082,20.5717576190141,20.9265399583211,20.6330187078895,21.0518110093602,19.4594403740911,18.9233184168925,20.308504297628,19.655156290197,19.8291117354409,21.2487255818206,20.7711198727684,19.4870078078778,20.8349335304401,20.5254236703971
"SymbC1.scaffold10410.1",NA,NA,NA,NA,18.5169755920772,NA,19.1464951845519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9073076964262,NA,NA,NA,18.9713312939308,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4198487227594,NA,NA,NA,NA
"SymbC1.scaffold1044.7",NA,19.7220027226348,20.4699964780357,19.8855418497424,20.2396825761022,19.7186914188268,NA,NA,NA,NA,NA,NA,NA,20.1843585695656,NA,NA,NA,NA,NA,NA,NA,20.576851398251,NA,NA,NA,NA,20.6041785644434,20.2608847991969,NA,NA,NA,NA,NA,19.9102426074276,NA,NA
"SymbC1.scaffold1045.7",19.9163461959639,19.906465483593,21.0449628633076,20.9510382285282,21.1322107073151,19.6732496519624,NA,20.5028156615497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold10487.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6438507963887,NA,19.1686103022686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6845322646525,NA,NA,NA,NA,NA,NA,19.5369160423373,NA,NA
"SymbC1.scaffold105.4",19.5659339157677,18.7273366597937,19.645741867991,20.6936421090791,18.6538487801957,18.7497771762294,NA,19.5399326364261,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2603734455378,NA,NA,NA,NA,19.7195711869181,20.5376702196362,NA,19.4761946572142,NA,NA,20.3431165712047,NA,NA,19.5729562169454,NA,NA,19.2863854481101,NA
"SymbC1.scaffold1050.1",17.7463973537791,NA,19.0288560716586,20.2818854682562,19.1442147876098,18.3321401067532,18.8071494127223,18.1885748111474,17.9735727438848,18.9053927896493,NA,NA,NA,17.6699783355746,18.3305460144915,18.2475813341993,18.4267250508241,18.4828228478716,18.7414478528025,NA,NA,18.9325893656842,NA,19.8057677796557,17.2573790659304,19.1285796625126,18.6472911998762,18.1136954356814,NA,NA,18.8730502514901,18.9876375256233,NA,18.7378897392588,18.4481517287225,NA
"SymbC1.scaffold10501.3",NA,20.7712466426215,21.7310952500782,21.1083874224701,22.097829927671,20.0106597343855,20.4493729858201,20.4901784660578,NA,21.6055488075234,21.3304099252049,NA,NA,NA,20.0057223658621,20.4143230354519,21.0369442663392,19.6498655262012,20.6991561037798,NA,18.7472020941823,20.5442757410743,NA,21.3251009166243,NA,21.3784226657924,NA,NA,NA,NA,NA,20.232275405645,NA,NA,19.9361939111541,NA
"SymbC1.scaffold10507.1",23.2499791285561,23.4407085055881,24.3575529442303,23.081170355383,24.2997640561595,22.9698403839545,23.4188829323813,23.2915553357623,22.3076171865101,23.8389802684381,23.8260447978063,NA,22.8611475964717,NA,23.6083252192266,22.4275156699871,23.4431023911604,23.7600525027907,23.0375556672871,22.7944034711509,23.3369972150934,23.6280792555562,23.4062506869377,23.5644672443963,23.5139200756937,24.0100530507813,19.0404760212483,NA,22.6660586122662,23.0205486670997,22.7813634158373,23.6320612223045,23.1921568870917,NA,22.9755843906801,22.876493152752
"SymbC1.scaffold10535.1;SymbC1.scaffold5913.2",23.4550102121433,25.0282101089142,24.8792881132638,24.3580797018799,24.4300893104864,23.516563049431,26.1632557924772,23.6976502692236,21.7684200953028,25.1262505789224,26.7838787911435,24.2600863936413,21.8366351190445,21.951681531029,24.9767261532118,23.1883636726348,24.1293262576492,23.6793506956335,24.5743444108959,23.7682572309561,22.7201742091849,24.6778323133863,22.749846109477,24.2071370855405,23.3882764332496,25.477238734168,23.2873131880913,22.7572801270463,23.5675634284223,22.848365437411,22.3534796192978,23.8516930052532,23.2838748397036,24.3826748140257,23.7264570423395,23.7277782925409
"SymbC1.scaffold1055.4",NA,NA,NA,17.401347771798,16.9336329407813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4328426072191,NA,NA,NA,17.9443691816561,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0849679484746,NA,NA,NA,NA
"SymbC1.scaffold10555.2",23.3171843148811,23.0987893510111,23.7343677977242,22.6629788436819,23.030365225452,22.8979796553617,23.0769775115413,23.2348226924923,22.5918473663065,23.1083893368923,22.9754792611399,NA,22.8654806919437,NA,23.1477122009477,21.8127269820685,22.4988761035594,23.5775554881482,22.5594808389489,22.9186111483818,23.2061370781946,23.2083163819921,23.1503171947478,23.2491203987046,23.1337527450431,23.9278789416756,NA,NA,22.4249156521379,23.2845403195538,22.2678152465606,23.5497048933279,23.4491141283644,NA,23.1838659871924,22.3971061117817
"SymbC1.scaffold10565.1",20.6943556552856,NA,21.4759115089766,21.2421508155088,20.1963309197859,20.6155716058512,19.1212513023344,21.1516870579096,20.3100141600245,20.2865466224869,19.6670950790317,18.9424881064599,NA,NA,NA,NA,NA,20.8617363793095,NA,NA,20.0289708679687,20.6064601119572,19.1996588669493,NA,NA,NA,19.9130548411268,19.9824096128125,NA,NA,20.026918496718,20.262791230536,20.4382136688476,19.7346888465099,NA,NA
"SymbC1.scaffold10566.2;SymbC1.scaffold3427.2",NA,NA,20.0805609009533,19.635064560178,20.6143520758443,NA,18.7765258036105,NA,NA,NA,21.3243315099741,NA,NA,NA,NA,18.5496272292615,18.8318777011003,NA,18.2973607537273,NA,NA,19.1589000944975,NA,20.2335528293828,NA,20.2216869726072,20.2116359864067,17.9347812077541,NA,NA,NA,18.2298623530794,NA,19.2201843424428,19.6269486612457,NA
"SymbC1.scaffold10620.1;SymbC1.scaffold5079.2",24.0970744067999,25.0328839833735,25.6242943636717,24.6012487095661,25.2877505597431,23.6786670787765,24.6901625590053,24.1109929915973,21.9900746118532,25.5899626485737,25.6309893850515,23.7414660605877,20.9504480377331,21.853950549433,25.3464787000592,24.3785303560116,25.1308206459401,24.0024830113327,25.0498153207218,23.6895162529667,23.1866935485629,24.9938812287683,23.7406257942686,24.6938420056384,23.8344799229808,25.7884260138473,23.3765216822551,22.6206396765504,23.5452164346619,23.9833644548491,21.66027287483,24.3542519381649,23.5487891078486,24.3135612078931,23.9273481999547,24.1148472000332
"SymbC1.scaffold1063.1",NA,NA,19.1299354207256,20.5020808037322,20.5115131963512,NA,NA,NA,NA,20.3730234974982,19.4399935453877,NA,NA,NA,NA,18.4956095005235,18.7168758615444,19.2523673134259,20.0071859114144,NA,NA,20.1944725255839,NA,20.3743791321125,NA,20.3322099156696,NA,NA,NA,NA,NA,19.7669562816129,NA,NA,18.6651703163462,NA
"SymbC1.scaffold1065.4",21.0366005747556,21.8656303946461,22.6686874416957,21.8241967217823,22.6233242580216,21.2851548248625,21.6035328541333,21.9366316493376,19.9277605136836,22.4867036999412,21.8043291808353,21.8870191997365,19.9214081311874,21.6008574233091,21.9329250566001,21.6537745573691,21.7297192706496,22.1515639721135,21.7020458296797,21.2391814271062,21.2230801879766,22.1004818869062,20.8988022073607,22.3972231248008,21.2756350482913,22.4547479723023,22.310687522571,21.9772500473472,20.6863188486335,21.7225448007976,19.5929493547354,22.2098446521117,21.2980573921111,22.3266952738797,22.0170433654969,20.4747047239874
"SymbC1.scaffold10653.1",17.6122903440369,NA,18.1241206806096,18.4616334418466,17.7547899655942,NA,NA,18.9660308179249,NA,18.8725370850428,18.798557826557,NA,18.2536779995815,NA,18.6887477081081,NA,NA,19.5901239724319,NA,18.4545304903839,18.2844280625381,NA,18.3837972219027,NA,19.2956522233948,18.743105464983,NA,NA,18.6498957786233,NA,NA,18.528151341092,NA,NA,NA,NA
"SymbC1.scaffold1066.1",20.4594856514474,20.2609020230036,21.2807308474833,20.9688989517799,21.3587024369287,20.7658669785873,21.0972347067403,21.353156115687,20.256102845706,21.1960601124431,21.4122787122533,19.275527779517,20.1531414617275,20.8923317653813,21.0058285690955,19.8930618825207,20.9998606013271,21.306103003797,20.4461256560145,18.9084705030104,20.8231284218006,21.1249318854975,20.9954223061818,21.2928682574174,20.6199135581145,21.5605609430778,18.5100009826832,18.4182799823174,20.3368779370717,20.6803693968142,18.8125027495107,21.043707860043,20.8649276200357,NA,21.4399418202885,20.1086444109364
"SymbC1.scaffold1068.1",22.3525612882653,21.5923077236498,22.2132386328178,22.9768391438046,22.1568345517417,21.8177144322695,22.1469968078912,22.5821524356531,21.5893512365281,22.1618132455967,23.2210843672766,NA,22.862678594382,NA,22.1426904408553,21.9185100639202,22.0802573785766,23.0742760713457,21.82380919737,23.2373284327011,22.3158448504087,22.2824615131897,22.5234514043644,23.4033886474086,22.9500786563842,22.5641067994888,19.7342682436186,NA,23.5569889321977,23.2483089386409,22.1995549332358,22.7665318403966,22.6532303950954,18.5592904916427,22.7166346540842,22.5050447740703
"SymbC1.scaffold10691.1",NA,NA,20.0607160490085,20.071757758868,NA,NA,NA,NA,NA,NA,19.277800313373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2799358453474,NA,18.3001001741027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold1073.1",21.7649184514914,20.9688554578414,21.9225533721377,21.8944353388296,21.4186041346822,21.3643357380371,21.6080685460212,21.7531490992235,21.1061229571826,20.7111566151892,NA,NA,21.586140444825,21.6987449320864,21.6548641235042,19.7883943490549,20.287404224175,22.1067138841778,NA,21.7742786427117,21.996539948774,21.7124705349092,21.1003283645519,22.0197495242228,21.727592183462,22.0101855764923,21.2816062024014,20.9684768734012,21.7615695940514,21.4418823958076,20.5409931912028,21.9006850677199,21.8240992918725,21.0466344490467,21.9381405625588,21.4992352099426
